Plobata010000919	K10380
Plobata010000935	K24148
Plobata010000380	K24936
Plobata010000108	K10359
Plobata010000225	K23223
Plobata010000147	K14074
Plobata010000630	K14616
Plobata010000506	K10642
Plobata010000061	K17570
Plobata010000424	K22023
Plobata010000736	K03992
Plobata010000359	K23342
Plobata010000278	K04615
Plobata010000080	K03068
Plobata010000880	K06792
Plobata010000240	K19013
Plobata010000302	K02577
Plobata010000869	K24936
Plobata010000578	K05673
Plobata010000215	K24464
Plobata010000647	K24936
Plobata010000426	K08060
Plobata010000436	K07369
Plobata010000999	K17690
Plobata010000402	K25709
Plobata010000560	K04362
Plobata010000053	K12604
Plobata010000024	K19636
Plobata010000481	K24936
Plobata010000677	K03899
Plobata010000530	K20865
Plobata010000512	K05126
Plobata010000479	K24936
Plobata010000643	K04984
Plobata010000371	K24936
Plobata010000689	K17495
Plobata010000496	K24936
Plobata010000890	K10642
Plobata010000257	K08844
Plobata010000031	K05636
Plobata010000377	K08844
Plobata010000118	K05673
Plobata010000235	K01349
Plobata010000329	K06252
Plobata010000469	K26273
Plobata010000033	K05695
Plobata010000472	K08576
Plobata010000045	K19326
Plobata010000351	K06778
Plobata010000270	K16175
Plobata010000688	K13912
Plobata010000467	K04362
Plobata010000314	K04593
Plobata010000396	K25861
Plobata010000988	K25700
Plobata010000172	K24459
Plobata010000001	K05190
Plobata010000098	K14326
Plobata010000521	K03094
Plobata010000623	K10642
Plobata010000189	K18061
Plobata010000237	K10130
Plobata010000197	K19519
Plobata010000900	K23113
Plobata010000252	K04988
Plobata010000505	K04357
Plobata010000503	K26555
Plobata010000692	K15521
Plobata010000793	K24936
Plobata010000023	K10408
Plobata010000445	K05126
Plobata010000081	K11262
Plobata010000054	K06560
Plobata010000119	K10408
Plobata010000107	K04989
Plobata010000145	K24333
Plobata010000387	K04362
Plobata010000015	K16669
Plobata010000040	K06560
Plobata010000799	K04984
Plobata010000559	K24943
Plobata010000059	K22017
Plobata010000010	K19526
Plobata010000917	K05643
Plobata010000536	K18032
Plobata010000853	K24936
Plobata010000657	K24936
Plobata010000551	K08060
Plobata010000468	K04967
Plobata010000415	K25769
Plobata010000051	K06642
Plobata010000477	K24936
Plobata010000897	K13988
Plobata010000478	K24936
Plobata010000132	K17341
Plobata010000084	K17341
Plobata010000196	K10408
Plobata010000239	K05635
Plobata010000328	K19360
Plobata010000030	K22125
Plobata010000581	K23589
Plobata010000128	K23342
Plobata010000683	K01230
Plobata010000002	K24224
Plobata010000720	K24936
Plobata010000898	K04157
Plobata010000214	K19921
Plobata010000152	K01316
Plobata010000372	K05695
Plobata010000971	K11997
Plobata010000195	K10408
Plobata010000571	K17253
Plobata010000527	K06756
Plobata010000878	K08375
Plobata010000367	K04357
Plobata010000666	K10642
Plobata010000411	K06255
Plobata010000289	K04362
Plobata010000236	K09637
Plobata010000482	K17341
Plobata010000458	K24936
Plobata010000815	K24936
Plobata010000046	K07378
Plobata010000836	K24915
Plobata010000133	K16506
Plobata010000228	K23939
Plobata010000188	K04145
Plobata010000007	K21873
Plobata010000323	K20045
Plobata010000022	K24835
Plobata010000951	K12805
Plobata010000542	K06825
Plobata010000817	K12035
Plobata010000116	K18442
Plobata010000603	K16353
Plobata010000190	K23286
Plobata010000726	K04266
Plobata010000207	K06825
Plobata010000526	K06091
Plobata010000304	K24936
Plobata010000280	K24464
Plobata010000344	K03899
Plobata010000268	K06255
Plobata010000256	K06825
Plobata010000074	K17592
Plobata010000087	K04988
Plobata010000227	K12828
Plobata010000495	K06237
Plobata010000204	K08843
Plobata010000918	K22614
Plobata010000881	K02030
Plobata010000416	K24936
Plobata010000092	K24938
Plobata010000455	K10642
Plobata010000165	K22754
Plobata010000213	K05673
Plobata010000171	K16726
Plobata010000288	K08844
Plobata010000149	K04834
Plobata010000473	K11135
Plobata010000616	K10642
Plobata010000434	K24936
Plobata010000884	K19361
Plobata010000065	K22937
Plobata010000025	K10595
Plobata010000300	K24936
Plobata010000440	K10642
Plobata010000273	K17535
Plobata010000531	K08807
Plobata010000494	K22754
Plobata010000832	K06792
Plobata010000761	K20865
Plobata010000757	K14720
Plobata010000055	K06777
Plobata010000320	K12172
Plobata010000242	K16724
Plobata010000693	K19511
Plobata010000671	K05310
Plobata010000200	K04988
Plobata010000217	K06255
Plobata010000122	K10593
Plobata010000212	K27478
Plobata010000178	K17572
Plobata010000295	K24936
Plobata010000385	K04150
Plobata010000275	K17341
Plobata010000587	K04594
Plobata010000143	K24464
Plobata010000249	K24936
Plobata010000741	K10349
Plobata010000008	K04988
Plobata010000870	K05052
Plobata010000448	K06792
Plobata010000330	K14072
Plobata010000705	K15521
Plobata010000139	K24734
Plobata010000027	K10691
Plobata010000635	K05093
Plobata010000848	K07427
Plobata010000429	K14616
Plobata010000483	K02580
Plobata010000111	K19559
Plobata010000026	K06115
Plobata010000713	K20994
Plobata010000821	K08737
Plobata010000099	K11699
Plobata010000305	K17535
Plobata010000924	K00290
Plobata010000250	K08630
Plobata010000437	K07378
Plobata010000109	K13174
Plobata010000206	K19608
Plobata010000164	K06813
Plobata010000117	K17551
Plobata010000421	K05039
Plobata010000393	K04202
Plobata010000417	K11997
Plobata010000274	K09553
Plobata010000085	K24183
Plobata010000220	K15199
Plobata010000091	K27060
Plobata010000366	K10642
Plobata010000032	K16727
Plobata010000465	K23113
Plobata010000727	K23342
Plobata010000816	K04969
Plobata010000238	K06754
Plobata010000564	K24936
Plobata010000453	K14862
Plobata010000153	K09608
Plobata010000454	K17535
Plobata010000418	K08893
Plobata010000420	K09634
Plobata010000679	K24936
Plobata010000019	K10408
Plobata010000654	K12598
Plobata010000752	K27397
Plobata010000341	K04135
Plobata010000216	K23380
Plobata010000056	K19527
Plobata010001035	K12309
Plobata010000966	K15015
Plobata010000066	K09228
Plobata010000125	K10594
Plobata010000598	K12132
Plobata010000634	K09255
Plobata010000642	K24936
Plobata010000493	K05093
Plobata010000485	K05126
Plobata010000956	K11669
Plobata010000352	K11850
Plobata010000568	K08592
Plobata010000005	K27624
Plobata010000378	K20865
Plobata010000319	K06236
Plobata010000144	K05692
Plobata010000694	K27816
Plobata010000180	K05766
Plobata010000673	K06825
Plobata010000020	K10144
Plobata010001006	K17495
Plobata010000276	K20283
Plobata010000102	K00164
Plobata010000198	K02365
Plobata010000233	K24691
Plobata010000543	K03068
Plobata010000110	K04362
Plobata010000907	K06100
Plobata010000824	K05126
Plobata010000123	K02599
Plobata010000222	K16353
Plobata010000784	K19360
Plobata010000011	K06794
Plobata010000211	K26273
Plobata010000450	K04266
Plobata010000346	K10642
Plobata010000028	K08775
Plobata010000296	K17591
Plobata010001012	K07380
Plobata010000114	K00921
Plobata010000373	K24053
Plobata010000706	K17535
Plobata010000199	K22615
Plobata010000073	K21863
Plobata010000927	K23342
Plobata010000336	K06255
Plobata010000586	K23342
Plobata010000100	K02186
Plobata010000271	K19682
Plobata010000488	K25769
Plobata010000058	K05126
Plobata010000685	K10626
Plobata010000695	K04307
Plobata010000590	K24936
Plobata010000580	K10398
Plobata010000262	K12035
Plobata010000279	K04601
Plobata010000827	K16777
Plobata010000908	K11643
Plobata010000376	K15259
Plobata010000120	K13912
Plobata010000592	K26437
Plobata010000471	K13348
Plobata010000807	K09530
Plobata010000939	K00654
Plobata010000533	K19360
Plobata010000912	K12959
Plobata010000037	K17592
Plobata010000502	K09255
Plobata010000428	K23342
Plobata010000266	K16669
Plobata010000318	K03174
Plobata010000808	K06468
Plobata010000405	K10104
Plobata010000886	K01586
Plobata010000842	K15521
Plobata010000070	K04988
Plobata010000539	K24936
Plobata010000812	K24936
Plobata010000130	K04600
Plobata010000362	K20315
Plobata010000544	K19511
Plobata010000306	K16175
Plobata010000610	K24431
Plobata010000049	K18283
Plobata010000287	K12858
Plobata010000855	K12231
Plobata010000391	K24936
Plobata010000157	K06238
Plobata010000141	K23934
Plobata010000006	K06254
Plobata010000830	K04203
Plobata010000608	K18274
Plobata010000475	K09849
Plobata010000124	K10408
Plobata010000850	K23342
Plobata010000751	K05673
Plobata010000860	K24936
Plobata010000776	K24936
Plobata010000281	K10642
Plobata010000889	K01794
Plobata010000042	K10366
Plobata010000088	K10586
Plobata010000203	K22910
Plobata010000962	K10500
Plobata010000255	K02084
Plobata010000801	K22615
Plobata010000600	K24936
Plobata010000629	K08375
Plobata010000103	K16669
Plobata010000183	K22125
Plobata010000484	K24936
Plobata010000012	K20994
Plobata010000489	K23342
Plobata010000874	K10478
Plobata010000775	K23113
Plobata010000513	K04615
Plobata010000317	K05126
Plobata010000439	K24936
Plobata010001011	K07380
Plobata010000882	K24431
Plobata010000620	K04285
Plobata010000435	K06792
Plobata010000463	K00814
