Plobata010000001.1_cds_CAH3032177.1_1	Plobata00000001
Plobata010000001.1_cds_CAH3032179.1_2	Plobata00000426
Plobata010000001.1_cds_CAH3032181.1_3	Plobata00000461
Plobata010000001.1_cds_CAH3032183.1_4	Plobata00000002
Plobata010000001.1_cds_CAH3032185.1_5	Plobata00000378
Plobata010000001.1_cds_CAH3032187.1_6	Plobata00000415
Plobata010000001.1_cds_CAH3032189.1_7	Plobata00000421
Plobata010000001.1_cds_CAH3032191.1_8	Plobata00000437
Plobata010000001.1_cds_CAH3032193.1_9	Plobata00000438
Plobata010000001.1_cds_CAH3032195.1_10	Plobata00000450
Plobata010000001.1_cds_CAH3032197.1_11	Plobata00000472
Plobata010000001.1_cds_CAH3032199.1_12	Plobata00000504
Plobata010000001.1_cds_CAH3032201.1_13	Plobata00000569
Plobata010000001.1_cds_CAH3032203.1_14	Plobata00000576
Plobata010000001.1_cds_CAH3032205.1_15	Plobata00000587
Plobata010000001.1_cds_CAH3032207.1_16	Plobata00000590
Plobata010000001.1_cds_CAH3032209.1_17	Plobata00000605
Plobata010000001.1_cds_CAH3032211.1_18	Plobata00000017
Plobata010000001.1_cds_CAH3032213.1_19	Plobata00000045
Plobata010000001.1_cds_CAH3032215.1_20	Plobata00000054
Plobata010000001.1_cds_CAH3032217.1_21	Plobata00000068
Plobata010000001.1_cds_CAH3032219.1_22	Plobata00000070
Plobata010000001.1_cds_CAH3032221.1_23	Plobata00000073
Plobata010000001.1_cds_CAH3032223.1_24	Plobata00000079
Plobata010000001.1_cds_CAH3032225.1_25	Plobata00000104
Plobata010000001.1_cds_CAH3032227.1_26	Plobata00000099
Plobata010000001.1_cds_CAH3032229.1_27	Plobata00000105
Plobata010000001.1_cds_CAH3032231.1_28	Plobata00000110
Plobata010000001.1_cds_CAH3032233.1_29	Plobata00000146
Plobata010000001.1_cds_CAH3032235.1_30	Plobata00000168
Plobata010000001.1_cds_CAH3032237.1_31	Plobata00000172
